TURN	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script03_2_F036	Both speakers are sitting upright in their chairs, facing each other. They appear to be engaged in a serious conversation, with occasional nodding and gesturing to emphasize their points.	The woman's facial expressions are mostly neutral, but she occasionally smiles and nods in agreement. The man appears more serious and focused, with a stern expression on his face.	The two speakers seem to be having a one-on-one conversation, with no other individuals present in the scene. Their body language and eye contact suggest a level of intimacy and engagement in their discussion.
Ses05M_script03_2_F037	The man is sitting in a chair and occasionally gesturing with his hands. The woman is standing and leaning against the table. She occasionally shifts her weight and adjusts her posture.	Both the man and the woman appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The man and the woman are engaged in a conversation, but there are no visible signs of tension or disagreement. They appear to be listening to each other and responding in a respectful manner.
Ses03F_script03_1_M019	The woman is seated in a chair, while the man is standing behind a desk. Both are holding papers and occasionally refer to them during their conversation. The woman is seen nodding her head and occasionally gesturing with her hands, while the man is mostly standing still, occasionally shifting his weight from one foot to the other.	The woman appears calm and composed, with a neutral facial expression. The man, on the other hand, seems more engaged in the conversation, occasionally raising his voice and displaying a range of emotions, including frustration and determination.	The speakers seem to be engaged in a serious conversation, possibly discussing a work-related matter or a personal issue. They appear to be listening to each other attentively and occasionally exchanging glances or nodding in agreement.
Ses01M_script01_3_M024	The man in the black shirt is seen holding a beer bottle and occasionally taking sips from it. Both men are engaged in a conversation, with the man in the white shirt gesturing with his hands to emphasize his points.	The man in the black shirt maintains a serious expression throughout the video, while the man in the white shirt occasionally smiles and appears more relaxed. Both men seem to be fully engaged in the conversation.	The two men appear to have a friendly relationship, as they are sitting close to each other and maintaining eye contact. They seem to be comfortable in each other's presence and are actively participating in the discussion.
Ses03M_script02_2_M045	The man is sitting in the chair, wearing a red shirt and a black hat. He is speaking into the microphone, occasionally gesturing with his hands. The woman is sitting in a different chair, holding a clipboard and listening attentively to the man's words. She occasionally nods her head and takes notes on the clipboard.	Both the man and the woman appear calm and focused throughout the video. Their facial expressions are neutral, and their tone of voice is professional and measured.	The man and the woman seem to be engaged in a professional conversation, possibly an interview or a discussion about a project. They maintain eye contact and appear to be actively listening to each other.
Ses04M_script01_3_F014	The woman is holding a piece of paper and occasionally gesturing with her hands. The man is sitting still and occasionally nodding his head.	The woman appears to be calm and composed, while the man seems to be attentive and engaged in the conversation. Both speakers maintain a neutral facial expression throughout the video.	The woman and the man are engaged in a conversation, but there is no visible interaction between them. They appear to be discussing something, but it is not clear from the video.
Ses03F_script01_1_M018	The man is holding a microphone and appears to be interviewing the woman. Both individuals are sitting on chairs, and the woman is occasionally gesturing with her hands as she speaks.	The woman's facial expressions are mostly neutral, but she occasionally smiles or nods in agreement with the man's questions. The man maintains a professional demeanor throughout the conversation.	The interaction between the two individuals seems friendly and professional. They appear to be comfortable with each other and are engaged in a meaningful conversation.
Ses05F_script03_2_F004	The man is gesturing with his hands as he talks, while the woman is not seen doing any actions.	The man appears to be engaged in the conversation, while the woman's facial expressions are not visible.	The man and woman seem to be having a serious conversation, but it is not clear what the topic is. There is no visible tension or familiarity between them.
Ses01F_script02_2_M028	The man and woman are sitting opposite each other. The woman is wearing a black vest and has a serious expression on her face, while the man is dressed in a white shirt and appears to be relaxed. Both speakers are gesturing with their hands, indicating that they are actively engaged in the conversation.	The woman's facial expression remains serious throughout the video, suggesting that she is discussing a serious topic. The man, on the other hand, appears to be relaxed and is smiling at certain points in the conversation.	There is no interaction with other individuals in the scene. The focus is solely on the conversation between the man and woman.
Ses05M_impro03_M021	The man is sitting with his hands on his lap, occasionally gesturing with his hands. The woman is sitting upright, occasionally leaning forward to emphasize a point. Both speakers maintain eye contact throughout the conversation.	Both speakers appear calm and composed, with occasional smiles and nods. Their facial expressions and tone of voice suggest a friendly and engaging conversation.	The speakers are the only individuals in the scene, and their interaction is focused on the conversation. There are no visible signs of tension or conflict.
Ses01M_impro02_F003	The man is sitting in a chair with his hands resting on his lap. He occasionally gestures with his hands as he speaks, but his movements are generally subtle and controlled. The woman is sitting on a couch, leaning forward slightly as she listens to the man. She occasionally nods her head in agreement or shakes it in disagreement.	Both the man and the woman appear calm and composed throughout the video. Their facial expressions are generally neutral, with occasional slight smiles or frowns.	The man and the woman seem to be engaged in a friendly conversation, with occasional moments of disagreement. They appear to be comfortable with each other and are actively listening to one another.
Ses05F_impro04_F010	Both speakers are sitting in chairs, facing each other. They are engaged in a conversation, with occasional gestures and hand movements. The woman is holding a book in her lap, while the man is wearing a black shirt and a black hat.	The woman appears calm and composed, with a neutral facial expression. The man, on the other hand, is smiling and occasionally nods his head in agreement.	The speakers seem to be having a friendly conversation, with no visible signs of tension or conflict. They are both attentive and engaged in the discussion, maintaining eye contact throughout the video.
Ses02M_script03_2_M014	Both speakers are sitting in chairs and facing each other. They are engaged in a conversation, occasionally gesturing with their hands to emphasize their points.	Both speakers maintain a composed demeanor throughout the conversation. Their facial expressions are mostly neutral, with occasional slight smiles or frowns.	The speakers seem to be having a serious and focused conversation. They are looking at each other and occasionally nodding in agreement or disagreement.
Ses01F_impro01_F005	The woman is sitting in a chair, and the man is sitting on a couch. Both are holding papers and occasionally refer to them during their conversation. The woman is seen gesturing with her hands, while the man is mostly stationary.	The woman appears to be engaged in the conversation, while the man seems more reserved. Both speakers maintain a neutral facial expression throughout the video.	The speakers are the only individuals visible in the frame. They appear to be having a serious conversation, but there are no visible signs of tension or disagreement.
Ses05F_impro03_M006	The woman is seen smiling and nodding her head while the man is talking to her. The man is holding a microphone and appears to be interviewing the woman.	The woman is smiling and seems to be enjoying the conversation. The man is smiling and appears to be relaxed and friendly.	The woman and the man seem to be engaged in a friendly conversation. There is no visible tension or hostility between them.
Ses01M_script01_1_M008	The man is sitting in a chair with his hands resting on his lap. He occasionally leans forward and gestures with his hands while speaking. The woman is sitting across from him, holding a notebook in her lap. She occasionally nods her head and takes notes while listening.	Both speakers appear calm and composed throughout the video. They maintain a neutral facial expression, and their tone of voice is measured and controlled.	The speakers engage in a conversation, exchanging ideas and opinions. They appear to be listening attentively to each other and responding thoughtfully. There is no visible tension or hostility between them.
Ses05F_impro07_F015	The woman is seen wearing a helmet and speaking to the camera, while the man is sitting in a chair and gesturing with his hands as he talks. Both characters maintain a relatively static position throughout the video.	The woman appears to be calm and composed, while the man is animated and expressive in his gestures and facial expressions. Both characters maintain a neutral tone throughout the video.	There is no visible interaction between the two characters, as they are speaking to the camera separately.
Ses04F_script02_1_M020	The woman is sitting in the chair, occasionally gesturing with her hands. The man is standing, with his hands clasped in front of him. Both speakers maintain a relatively static posture throughout the video.	The woman's facial expressions are mostly neutral, with occasional slight smiles. The man appears more serious, with a stern expression on his face.	There is no visible interaction between the speakers and other individuals in the scene. They seem to be engaged in a one-on-one conversation.
Ses03M_impro05b_F011	The woman is sitting in the black chair, while the man is sitting in the wooden chair. Both are facing each other and engaged in conversation. The woman is gesturing with her hands, while the man is sitting still.	The woman appears to be smiling and relaxed, while the man has a serious expression on his face. His eyebrows are furrowed, and he is looking directly at the woman.	The woman and the man seem to be having a serious conversation, but it is unclear what the topic is. They are both sitting in their respective chairs and maintaining eye contact throughout the conversation.
Ses03M_impro07_M000	Both the man and the woman are actively engaged in the conversation. They are facing each other and making eye contact while speaking. The woman is gesturing with her hands to emphasize her points, while the man is nodding his head and occasionally leaning forward to show his interest.	Both the man and the woman appear to be calm and composed throughout the conversation. They are maintaining a neutral facial expression, and their tone of voice is measured and controlled.	The man and the woman are the only two individuals in the scene, and they are the only ones interacting with each other. They seem to be having a serious conversation, but there is no visible tension or hostility between them.
Ses01M_impro07_F008	The speakers are both sitting in chairs, facing each other. They appear to be engaged in a conversation, with occasional gestures and hand movements.	Both speakers seem to be in good spirits, with smiles on their faces and relaxed body language. They appear to be enjoying each other's company and the conversation.	The speakers are the only individuals in the scene, and their interaction is focused solely on their conversation. There are no visible signs of tension or conflict between them.
Ses05M_impro04_F007	The man on the left is gesturing with his hands as he speaks, while the man on the right is nodding his head in agreement. The woman behind them is listening attentively, occasionally nodding her head.	Both men appear to be engaged in the conversation, with the man on the left speaking with enthusiasm and the man on the right listening intently. The woman behind them maintains a neutral expression throughout the video.	The speakers seem to be having a friendly conversation, with occasional nods and gestures indicating active listening and engagement.
Ses04F_impro01_M004	The woman is sitting in a chair, leaning forward slightly as she speaks into the microphone. The man is sitting at a desk, holding a piece of paper in his hand while he listens and occasionally nods his head.	Both the woman and the man appear to be engaged in the conversation, maintaining a serious tone. The woman's facial expressions are mostly neutral, while the man occasionally smiles and nods.	The woman and the man seem to be having a one-on-one conversation, with no other individuals visible in the frame. Their body language suggests a level of familiarity and comfort with each other.
Ses01M_script03_1_M032	The man is sitting in a chair with his hands resting on his lap. He occasionally gestures with his hands as he speaks, but his movements are generally subtle and controlled. The woman is seated across from him, also with her hands resting on her lap. She occasionally nods her head in agreement or shakes her head in disagreement.	Both the man and the woman appear calm and composed throughout the video. They maintain a neutral facial expression, and their tone of voice is measured and controlled.	The man and the woman seem to be engaged in a serious conversation, but there is no visible tension or hostility between them. They appear to be listening to each other and responding in a respectful manner.
