Dialogue_id	Utterance_id	Speakers Actions	Emotions and Facial Expressions	Interaction with Others
0	0	The man is seen holding a folder and speaking to the group of people. He appears confident and in control of the conversation. The woman is listening attentively and occasionally nodding her head.	Both the man and the woman maintain a professional demeanor throughout the video, with minimal facial expressions. However, the man's tone of voice conveys a sense of authority and assurance.	The man is addressing the group of people, while the woman is listening and occasionally interjecting with comments or questions. The interaction between the two appears friendly and collaborative.
0	3	The man is talking to the camera while the woman is standing next to him, occasionally looking at the TV screen. The child in the high chair is drinking from a sippy cup.	The man appears to be smiling and relaxed, while the woman is more focused on the TV screen. The child seems content and happy.	The man and woman seem to be engaged in a conversation, but it is unclear what they are discussing. The child in the high chair is not actively participating in the conversation.
0	4	The man in the blue shirt is standing up and talking to the group of people. He is using hand gestures to emphasize his points. The other people are sitting around the table, listening attentively to the man's speech.	The man in the blue shirt appears confident and passionate about his topic. The other people in the room are attentive and engaged, indicating that they are interested in what he has to say.	The man in the blue shirt is the main speaker in the video, and he is addressing the group of people. The other people are listening and occasionally asking questions or making comments. There is a sense of mutual respect and collaboration in the room.
0	5	The man and woman are standing and facing each other. The man is holding a clipboard and occasionally gesturing towards the TV screen. The woman is listening attentively and occasionally nodding her head.	Both the man and woman appear to be calm and composed throughout the conversation. They do not show any strong emotions or facial expressions.	The man and woman seem to be engaged in a friendly conversation, possibly discussing the video of the little girl on the TV screen. There is no visible tension or hostility between them.
0	7	The speakers are standing around the table, engaged in a conversation. They are not performing any specific actions, but their body language suggests that they are actively discussing something.	The speakers' facial expressions are not visible in the video, so it is difficult to determine their emotions. However, their tone of voice seems neutral and professional.	The speakers are the only people in the scene, so there is no interaction with others.
0	8	The woman in the video is standing and talking to a man who is sitting at the table. She gestures with her hands as she speaks, and the man listens attentively. At one point, the woman smiles and laughs, indicating a friendly and positive interaction.	The woman's facial expressions show that she is happy and enjoying the conversation. The man's expressions are more subdued, but he appears to be engaged in the conversation.	The woman and the man seem to be having a private conversation, despite being surrounded by other people. They are facing each other and appear to be comfortable in each other's presence.
1	0	The woman is seen pointing at something on the shelf, while the man is looking at her and occasionally gesturing with his hands.	Both the woman and the man appear to be engaged in a friendly conversation, with occasional smiles and laughter.	The woman and the man seem to be the only characters in the scene, and their interaction is limited to their conversation.
1	1	The man in the blue vest is talking to another man wearing an orange vest. He is gesturing with his hands, possibly emphasizing a point or explaining something. The other man is listening attentively, nodding his head occasionally.	Both men appear to be calm and composed, with no visible signs of strong emotions. Their facial expressions are neutral, and their tone of voice is measured.	The two men seem to be engaged in a friendly conversation, possibly discussing a shared interest or exchanging information. There is no visible tension or conflict between them.
1	2	The man in the blue vest is seen talking to another man, who is wearing an orange vest. The man in the blue vest is also seen smiling and laughing during the conversation.	Both men appear to be in good spirits, with the man in the blue vest smiling and laughing throughout the conversation. The man in the orange vest also seems to be enjoying the interaction.	The two men appear to be engaged in a friendly conversation, with no visible signs of tension or hostility. They are standing close to each other, suggesting a level of familiarity and comfort.
1	4	The woman is standing in front of the man, and they are engaged in a conversation. The man is wearing a blue vest and is looking at the woman while she talks. The woman is gesturing with her hands as she speaks.	The woman appears to be smiling and is animated in her gestures, suggesting that she is enjoying the conversation. The man's facial expression is not visible in the video.	The video does not provide any information about the interaction between the speakers and other people in the scene.
1	5	The man in the blue vest is seen talking to a woman, while a man in a grey shirt is also present in the scene. The man in the blue vest is gesturing with his hands, possibly emphasizing a point or explaining something to the woman.	The video does not provide clear indications of the characters' emotions, but the man in the blue vest appears to be engaged in conversation and is making eye contact with the woman.	The man in the blue vest seems to be addressing the woman directly, while the man in the grey shirt is standing nearby and appears to be listening to the conversation. The woman is also actively participating in the conversation, nodding her head and occasionally speaking.
1	6	The man in the blue vest is seen talking to someone off-camera. He occasionally gestures with his hands, but his movements are generally calm and controlled.	The man's facial expressions are mostly neutral, with occasional slight smiles. His tone of voice is friendly and relaxed, suggesting a casual conversation.	The man appears to be engaged in a conversation with someone not visible in the frame. There is no indication of any tension or conflict in their interaction.
1	7	The man is talking to the woman, while the woman is looking at him and occasionally smiling. The man seems to be explaining something, as he is gesturing with his hands.	The woman appears to be amused and engaged in the conversation, while the man seems to be confident and relaxed. Both characters are smiling and maintaining eye contact throughout the interaction.	The video does not provide any information about other people in the scene, so it is unclear if there is any interaction with others.
1	8	The woman is seen reaching for a product on the shelf while the man is standing beside her, gesturing with his hands as he speaks. At one point, the man takes the product from the woman's hand and places it back on the shelf.	The woman appears to be smiling and engaged in the conversation, while the man's facial expressions are not clearly visible.	The video does not show any other people in the scene, so there is no interaction with others to describe.
3	0	The woman is holding a box and talking to the man. The man is sitting at a desk and listening to her. Both characters seem to be engaged in a conversation.	The woman appears to be calm and composed, while the man looks attentive and interested in what she is saying. There are no visible signs of strong emotions or tension between the characters.	The woman and the man seem to be having a friendly conversation, with no visible signs of conflict or disagreement. They appear to be comfortable with each other and are actively engaged in the discussion.
3	1	The woman is holding a box and talking to the man. She seems to be explaining something about the box, possibly its contents or features. The man is listening attentively and occasionally nodding his head.	Both the woman and the man appear to be calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The woman and the man seem to have a friendly and professional relationship. They are engaged in a conversation, but there are no visible signs of tension or conflict.
3	2	The woman is holding a box and talking to the man. The man is standing in front of her, listening attentively.	The woman appears to be smiling, indicating a positive and friendly conversation. The man's facial expression is not visible in the video.	The woman and the man seem to be engaged in a friendly conversation, possibly discussing the item in the box. There is no indication of any tension or conflict between them.
3	3	The woman is standing in front of the man, gesturing with her hands as she speaks. The man is listening attentively, occasionally nodding his head.	Both the woman and the man appear calm and composed throughout the conversation. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The woman and the man are the only two people in the scene, and they seem to be engaged in a one-on-one conversation. There is no interaction with other people.
3	5	The woman is standing in front of the man, leaning on the counter. The man is sitting behind the counter, listening to the woman's words. Both characters seem to be engaged in a friendly conversation.	The woman appears to be smiling and relaxed, while the man maintains a neutral expression. There are no visible signs of strong emotions or tension between the characters.	The woman and the man seem to be the only characters in the scene. They are interacting with each other in a friendly and professional manner.
3	6	The woman is holding a box and appears to be showing it to the man. The man is sitting down and looking at the box.	The woman's facial expression is not described, but her tone of voice seems neutral. The man's facial expression is also not described, but he appears to be attentive and interested in the box.	The woman is presenting the box to the man, who is listening and observing. There is no indication of any other people in the scene.
3	7	The woman is holding a box and appears to be explaining something to the man. She is using hand gestures to emphasize her points. The man is attentively listening to her and occasionally nodding his head.	Both the woman and the man seem to be in a friendly and professional conversation. They are maintaining eye contact and smiling occasionally.	The woman and the man are the only two people in the scene. They are engaged in a one-on-one conversation, with the woman explaining the contents of the box to the man.
3	9	The woman is standing still behind the counter, while the man is sitting on a stool. He occasionally shifts his weight and looks around the store.	Both the woman and the man appear calm and relaxed throughout the video. Their facial expressions are neutral, and they do not show any strong emotions.	The woman and the man do not interact with each other or with any other people in the scene. They seem to be alone in the store.
5	0	The woman behind the counter is folding clothes while the young girl is holding her phone and looking at it. The woman occasionally looks up from her task, but the girl seems more focused on her phone.	Both the woman and the girl appear calm and relaxed, with no visible signs of stress or discomfort. The woman's facial expression is neutral, while the girl's expression is more focused on her phone.	There is no direct interaction between the woman and the girl, as the girl is preoccupied with her phone. The woman seems to be going about her work without any expectation of communication from the girl.
5	1	The girl is holding a pair of pants and showing them to the woman. The woman is listening attentively and occasionally touching the pants.	Both the girl and the woman appear calm and focused on the conversation. The girl seems confident in presenting the pants, while the woman is attentive and interested in the product.	The interaction between the two characters is friendly and professional. They seem to have a good rapport and are engaged in a conversation about the pants.
5	3	The woman behind the table is engaged in a conversation with a young girl. She is standing still and occasionally gesturing with her hands to emphasize her points. The young girl is also standing still and listening attentively to the woman's words.	The woman appears to be calm and composed, while the young girl seems to be attentive and curious. There are no visible signs of strong emotions or reactions in the video.	The woman and the young girl seem to have a friendly and positive interaction. The woman is speaking in a gentle and patient tone, while the young girl is listening attentively and occasionally asking questions.
5	4	The woman is folding clothes on an ironing board, while the young girl is holding up a shirt. The woman then proceeds to iron the shirt for the girl.	Both the woman and the young girl appear to be calm and content throughout the video. The woman is focused on her task, while the young girl is patiently waiting for her shirt to be ironed.	The interaction between the woman and the young girl is friendly and professional. The woman is attentive to the young girl's needs, and the young girl seems to trust and respect the woman's expertise.
5	8	The two women are standing next to the rack of clothing. One of them is holding a towel, while the other is looking at the clothes. They seem to be engaged in a conversation about the items on the rack.	Both women appear to be calm and relaxed. They are smiling and seem to be enjoying their conversation. Their facial expressions are friendly and open, indicating a positive interaction between them.	The two women are the only characters in the scene, and their interaction is focused on the clothing items on the rack. They seem to be discussing the clothes, possibly sharing opinions or making decisions about purchases.
5	10	The woman is holding a shirt and appears to be showing it to the other person. The other person is listening attentively and occasionally touching the shirt.	Both the woman and the other person seem to be in a calm and relaxed state. They are smiling and appear to be enjoying their conversation.	The woman and the other person seem to be engaged in a friendly conversation, with the woman explaining the features and quality of the shirt. The other person is attentive and interested in what the woman is saying.
6	0	The woman is seen talking to the man, while the man is standing with his hands in his pockets. At one point, the man puts his hand on his hip.	The woman appears to be concerned about the man's relationship with his dad, as indicated by her facial expressions and tone of voice. The man seems to be defensive and possibly annoyed by the woman's questions.	The woman and the man are the only characters in the scene, and their interaction is focused on the man's relationship with his dad. There is no interaction with other people.
6	1	The woman is seen talking to the man, while the man is attentively listening to her. There are no significant actions or movements in the video.	The woman appears to be angry and upset, while the man seems to be calm and composed. Both characters maintain a serious expression throughout the conversation.	The woman and the man are the only characters in the scene. They communicate with each other in a straightforward manner, without any visible signs of their relationship.
6	2	The woman is standing with her arms crossed, while the man is standing with his hands in his pockets. Both of them are facing each other and engaged in a conversation.	The woman appears to be angry and frustrated, as indicated by her facial expressions and body language. The man seems to be calm and composed, but also slightly annoyed.	The woman and the man are the only two people in the scene. They are talking to each other, but there is no visible interaction with others.
