Turn	Rank_First	Rank_Second	Rank_Third
Ses03F_script03_2_F036	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_2_F037	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_script03_1_M019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_3_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_M045	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04M_script01_3_F014	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script01_1_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script03_2_F004	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01F_script02_2_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro03_M021	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro02_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_2_M014	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01F_impro01_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_M006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_1_M008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro07_F015	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_script02_1_M020	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro05b_F011	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_impro07_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro07_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_F007	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04F_impro01_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_M032	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_impro03_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro08_F008	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script01_1b_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_1_F013	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script01_1_M000	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_impro07_F007	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_impro05_M023	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_script01_1_F006	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_script03_2_M008	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_script03_2_F033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro05_F020	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_impro08_M020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro07_F036	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro01_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro02_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro01_F008	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
