Dia	Utt	Rank_First	Rank_Second	Rank_Third
0	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
0	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
0	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
0	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
0	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
0	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1	4	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1	8	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
3	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
3	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
3	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
3	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
3	5	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
3	6	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
3	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
3	9	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
5	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
5	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
5	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
5	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
5	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
5	10	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
6	0	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
6	1	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
6	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
6	4	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
6	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
6	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
7	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
7	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
7	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
7	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
7	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
7	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
8	1	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
8	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
8	3	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
8	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
8	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
8	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
8	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
